Timestamp,Cpacidad disponible, Capacidad utilizada,% Memoria utilizada 
18:54:43,2650656,1387520,34.360065
18:54:48,2650656,1387520,34.360065
18:54:53,2650656,1387520,34.360065
18:54:58,2650656,1387520,34.360065
18:55:03,2650656,1387520,34.360065
18:55:08,2650656,1387520,34.360065
18:55:13,2650656,1387520,34.360065
18:55:18,2650656,1387520,34.360065
18:55:23,2650656,1387520,34.360065
18:55:28,2650656,1387520,34.360065
18:55:33,2650532,1387644,34.36314
18:55:38,2650532,1387644,34.36314
18:55:43,2650532,1387644,34.36314
18:55:48,2650532,1387644,34.36314
18:55:53,2650532,1387644,34.36314
18:55:58,2650532,1387644,34.36314
18:56:03,2650532,1387644,34.36314
18:56:08,2650532,1387644,34.36314
18:56:13,2650532,1387644,34.36314
18:56:18,2650532,1387644,34.36314
18:56:23,2650532,1387644,34.36314
18:56:28,2650532,1387644,34.36314
18:56:33,2650532,1387644,34.36314
18:56:38,2650532,1387644,34.36314
18:56:43,2650532,1387644,34.36314
18:56:48,2650532,1387644,34.36314
18:56:53,2650532,1387644,34.36314
18:56:58,2650532,1387644,34.36314
18:57:03,2650780,1387396,34.356995
18:57:08,2650780,1387396,34.356995
18:57:14,2650780,1387396,34.356995
18:57:19,2650780,1387396,34.356995
18:57:24,2650780,1387396,34.356995
18:57:29,2650780,1387396,34.356995
18:57:34,2650780,1387396,34.356995
18:57:39,2650780,1387396,34.356995
18:57:44,2650780,1387396,34.356995
18:57:49,2650656,1387520,34.360065
18:57:54,2650656,1387520,34.360065
18:57:59,2650656,1387520,34.360065
18:58:04,2650780,1387396,34.356995
18:58:09,2650780,1387396,34.356995
18:58:14,2650780,1387396,34.356995
18:58:19,2650780,1387396,34.356995
18:58:24,2650780,1387396,34.356995
18:58:29,2650780,1387396,34.356995
18:58:34,2650780,1387396,34.356995
18:58:39,2650780,1387396,34.356995
18:58:44,2650780,1387396,34.356995
18:58:49,2650780,1387396,34.356995
18:58:54,2650780,1387396,34.356995
18:58:59,2650780,1387396,34.356995
18:59:04,2650656,1387520,34.360065
18:59:09,2650656,1387520,34.360065
18:59:14,2650656,1387520,34.360065
18:59:19,2650656,1387520,34.360065
18:59:24,2650656,1387520,34.360065
18:59:29,2650656,1387520,34.360065
18:59:34,2650656,1387520,34.360065
18:59:39,2650656,1387520,34.360065
18:59:44,2650656,1387520,34.360065
18:59:49,2650656,1387520,34.360065
18:59:54,2650656,1387520,34.360065
18:59:59,2650656,1387520,34.360065
19:00:04,2650656,1387520,34.360065
19:00:09,2650656,1387520,34.360065
19:00:14,2650656,1387520,34.360065
19:00:19,2650656,1387520,34.360065
19:00:24,2650656,1387520,34.360065
19:00:29,2650656,1387520,34.360065
19:00:34,2650656,1387520,34.360065
19:00:39,2650656,1387520,34.360065
19:00:44,2650656,1387520,34.360065
19:00:49,2650656,1387520,34.360065
19:00:54,2650656,1387520,34.360065
19:00:59,2650656,1387520,34.360065
19:01:04,2650532,1387644,34.36314
19:01:09,2650532,1387644,34.36314
19:01:14,2650532,1387644,34.36314
19:01:19,2650532,1387644,34.36314
19:01:24,2650532,1387644,34.36314
19:01:29,2650532,1387644,34.36314
19:01:34,2650532,1387644,34.36314
19:01:39,2650532,1387644,34.36314
19:01:44,2650532,1387644,34.36314
19:01:49,2650532,1387644,34.36314
19:01:54,2650532,1387644,34.36314
19:01:59,2650532,1387644,34.36314
19:02:04,2650532,1387644,34.36314
19:02:09,2650532,1387644,34.36314
19:02:14,2650532,1387644,34.36314
19:02:19,2650532,1387644,34.36314
19:02:24,2650532,1387644,34.36314
19:02:29,2650532,1387644,34.36314
19:02:34,2650532,1387644,34.36314
19:02:39,2650532,1387644,34.36314
19:02:44,2650532,1387644,34.36314
19:02:49,2650532,1387644,34.36314
19:02:54,2650532,1387644,34.36314
19:02:59,2650532,1387644,34.36314
19:03:04,2650656,1387520,34.360065
19:03:09,2650656,1387520,34.360065
19:03:14,2650656,1387520,34.360065
19:03:19,2650656,1387520,34.360065
19:03:24,2650656,1387520,34.360065
19:03:29,2650656,1387520,34.360065
19:03:34,2650656,1387520,34.360065
19:03:39,2650532,1387644,34.36314
19:03:44,2650532,1387644,34.36314
19:03:49,2650532,1387644,34.36314
19:03:54,2650532,1387644,34.36314
19:03:59,2650532,1387644,34.36314
19:04:04,2650656,1387520,34.360065
19:04:09,2650656,1387520,34.360065
19:04:14,2650656,1387520,34.360065
19:04:19,2650656,1387520,34.360065
19:04:24,2650656,1387520,34.360065
19:04:29,2650656,1387520,34.360065
19:04:34,2650656,1387520,34.360065
19:04:39,2650656,1387520,34.360065
19:04:44,2650656,1387520,34.360065
19:04:49,2650656,1387520,34.360065
19:04:54,2650656,1387520,34.360065
19:04:59,2650656,1387520,34.360065
19:05:04,2650656,1387520,34.360065
19:05:09,2650656,1387520,34.360065
19:05:14,2650656,1387520,34.360065
19:05:19,2650656,1387520,34.360065
19:05:24,2650656,1387520,34.360065
19:05:29,2650656,1387520,34.360065
19:05:34,2650656,1387520,34.360065
19:05:39,2650656,1387520,34.360065
19:05:44,2650656,1387520,34.360065
19:05:49,2650656,1387520,34.360065
19:05:54,2650656,1387520,34.360065
19:05:59,2650656,1387520,34.360065
19:06:04,2650656,1387520,34.360065
19:06:09,2650656,1387520,34.360065
19:06:14,2650656,1387520,34.360065
19:06:19,2650656,1387520,34.360065
19:06:24,2650656,1387520,34.360065
19:06:29,2650656,1387520,34.360065
19:06:34,2650656,1387520,34.360065
19:06:39,2650532,1387644,34.36314
19:06:44,2650532,1387644,34.36314
