Timestamp,% global CPU,Cpacidad de memoria utilizada,% Memoria utilizada 
18:32:24,1.4,1506420,37.3045
18:32:26,1.4,1506288,37.3012
18:32:28,1.4,1506304,37.3016
18:32:30,1.4,1506172,37.2983
18:32:32,1.4,1506404,37.3041
18:32:35,1.4,1506320,37.3020
18:32:37,1.4,1506056,37.2955
18:32:39,1.4,1506088,37.2962
18:32:41,1.4,1506228,37.2997
18:32:43,1.4,1505944,37.2927
18:32:45,1.4,1506324,37.3021
18:32:47,1.4,1506208,37.2992
18:32:49,1.4,1506100,37.2965
18:32:51,1.4,1506224,37.2996
18:32:53,1.4,1506472,37.3058
18:32:55,1.4,1506480,37.3060
18:32:58,1.4,1506572,37.3082
18:33:00,1.4,1506968,37.3180
18:33:02,1.4,1506696,37.3113
18:33:04,1.4,1506604,37.3090
18:33:06,1.4,1506472,37.3058
18:33:08,1.4,1506224,37.2996
18:33:10,1.4,1505976,37.2935
18:33:12,1.4,1505868,37.2908
18:33:14,1.4,1506000,37.2941
18:33:16,1.4,1506272,37.3008
18:33:18,1.4,1506148,37.2977
18:33:20,1.4,1506272,37.3008
18:33:23,1.4,1505852,37.2904
18:33:25,1.4,1506076,37.2959
18:33:27,1.4,1505952,37.2929
18:33:29,1.4,1505992,37.2939
18:33:31,1.4,1505844,37.2902
18:33:33,1.4,1505976,37.2935
18:33:35,1.4,1505976,37.2935
18:33:37,1.4,1505828,37.2898
18:33:39,1.4,1505952,37.2929
18:33:41,1.4,1505936,37.2925
18:33:43,1.4,1506260,37.3005
18:33:45,1.4,1506120,37.2970
18:33:48,1.4,1506376,37.3034
18:33:50,1.4,1506260,37.3005
18:33:52,1.4,1506152,37.2978
18:33:54,1.4,1506276,37.3009
18:33:56,1.4,1506540,37.3074
18:33:58,1.4,1506632,37.3097
18:34:00,1.4,1505736,37.2875
18:34:02,1.4,1506036,37.2950
18:34:04,1.4,1505896,37.2915
18:34:06,1.4,1506192,37.2988
18:34:08,1.4,1506232,37.2998
18:34:11,1.3,1506340,37.3025
18:34:13,1.3,1506744,37.3125
18:34:15,1.3,1506636,37.3098
18:34:17,1.3,1506404,37.3041
18:34:19,1.3,1506396,37.3039
18:34:21,1.3,1506172,37.2983
18:34:23,1.3,1506568,37.3081
18:34:25,1.3,1506212,37.2993
18:34:27,1.3,1506468,37.3057
18:34:29,1.3,1506460,37.3055
18:34:31,1.3,1506600,37.3089
18:34:33,1.3,1506608,37.3091
18:34:35,1.3,1506484,37.3061
18:34:38,1.3,1506376,37.3034
18:34:40,1.3,1506508,37.3066
18:34:42,1.3,1506608,37.3091
18:34:44,1.3,1506344,37.3026
18:34:46,1.3,1506600,37.3089
18:34:48,1.3,1506336,37.3024
18:34:50,1.3,1506236,37.2999
18:34:52,1.3,1506404,37.3041
18:34:54,1.3,1506388,37.3037
18:34:56,1.3,1506412,37.3043
18:34:58,1.3,1506180,37.2985
18:35:00,1.3,1505948,37.2928
18:35:02,1.3,1506156,37.2979
18:35:05,1.3,1506288,37.3012
18:35:07,1.3,1506296,37.3014
18:35:09,1.3,1506156,37.2979
18:35:11,1.3,1506560,37.3079
18:35:13,1.3,1506164,37.2981
18:35:15,1.3,1506396,37.3039
18:35:17,1.3,1506280,37.3010
18:35:19,1.3,1506264,37.3006
18:35:21,1.3,1506272,37.3008
18:35:23,1.3,1506536,37.3073
18:35:25,1.3,1506924,37.3169
18:35:27,1.3,1506940,37.3173
18:35:30,1.3,1506560,37.3079
18:35:32,1.3,1506880,37.3159
18:35:34,1.3,1506500,37.3064
18:35:36,1.3,1506388,37.3037
18:35:38,1.3,1506388,37.3037
18:35:40,1.3,1506272,37.3008
18:35:42,1.3,1506548,37.3076
18:35:44,1.3,1506432,37.3048
18:35:47,1.3,1506416,37.3044
18:35:49,1.3,1506656,37.3103
18:35:51,1.3,1506672,37.3107
18:35:53,1.3,1506324,37.3021
18:35:55,1.3,1506448,37.3052
18:35:57,1.3,1506672,37.3107
18:35:59,1.3,1506548,37.3076
18:36:01,1.3,1506360,37.3030
18:36:03,1.3,1506112,37.2968
18:36:05,1.3,1506484,37.3061
18:36:07,1.3,1506484,37.3061
18:36:09,1.3,1506344,37.3026
18:36:11,1.3,1506328,37.3022
18:36:13,1.3,1506352,37.3028
18:36:16,1.3,1506352,37.3028
18:36:18,1.2,1506616,37.3093
18:36:20,1.2,1506756,37.3128
18:36:22,1.2,1506360,37.3030
18:36:24,1.2,1506408,37.3042
18:36:26,1.2,1506672,37.3107
18:36:28,1.2,1506648,37.3101
18:36:30,1.2,1506920,37.3168
18:36:32,1.2,1506904,37.3165
18:36:34,1.2,1506556,37.3078
18:36:36,1.2,1506688,37.3111
18:36:38,1.2,1506720,37.3119
18:36:40,1.2,1506224,37.2996
18:36:43,1.2,1506480,37.3060
18:36:45,1.2,1506232,37.2998
18:36:47,1.2,1506340,37.3025
18:36:49,1.2,1506388,37.3037
18:36:51,1.2,1506620,37.3094
18:36:53,1.2,1506776,37.3133
18:36:55,1.2,1506676,37.3108
18:36:57,1.2,1506924,37.3169
18:36:59,1.2,1506808,37.3141
18:37:01,1.2,1506684,37.3110
18:37:03,1.2,1506700,37.3114
18:37:06,1.2,1506700,37.3114
18:37:08,1.2,1506420,37.3045
18:37:10,1.2,1506708,37.3116
18:37:12,1.2,1506724,37.3120
18:37:14,1.2,1506492,37.3062
18:37:16,1.2,1506700,37.3114
18:37:18,1.2,1507064,37.3204
18:37:20,1.2,1506932,37.3171
18:37:22,1.2,1506700,37.3114
18:37:24,1.2,1506560,37.3079
18:37:26,1.2,1506732,37.3122
18:37:28,1.2,1506388,37.3037
18:37:30,1.2,1506248,37.3002
18:37:32,1.2,1506000,37.2941
18:37:35,1.2,1506124,37.2971
18:37:37,1.2,1506240,37.3000
18:37:39,1.2,1506092,37.2963
18:37:41,1.2,1506160,37.2980
18:37:43,1.2,1506780,37.3134
18:37:45,1.2,1506524,37.3070
18:37:47,1.2,1506688,37.3111
18:37:49,1.2,1506548,37.3076
18:37:51,1.2,1506436,37.3049
18:37:53,1.2,1506352,37.3028
18:37:55,1.2,1506708,37.3116
18:37:57,1.2,1506452,37.3053
18:37:59,1.2,1506504,37.3065
18:38:02,1.2,1506904,37.3165
18:38:04,1.2,1506792,37.3137
18:38:06,1.2,1506772,37.3132
18:38:08,1.2,1506492,37.3062
18:38:10,1.2,1506780,37.3134
18:38:12,1.2,1506680,37.3109
18:38:14,1.2,1506672,37.3107
18:38:16,1.2,1507128,37.3220
18:38:18,1.2,1506996,37.3187
18:38:20,1.2,1506676,37.3108
18:38:22,1.2,1506464,37.3056
18:38:24,1.2,1506512,37.3067
18:38:26,1.2,1506380,37.3035
18:38:28,1.2,1506264,37.3006
18:38:31,1.2,1506280,37.3010
18:38:33,1.2,1506216,37.2994
18:38:35,1.2,1506600,37.3089
18:38:37,1.2,1506824,37.3145
18:38:39,1.2,1506808,37.3141
18:38:41,1.2,1506764,37.3130
18:38:43,1.2,1506792,37.3137
18:38:45,1.2,1506796,37.3138
18:38:47,1.2,1506588,37.3086
18:38:49,1.1,1506060,37.2956
18:38:51,1.1,1506092,37.2963
18:38:53,1.1,1506900,37.3164
18:38:56,1.1,1506572,37.3082
18:38:58,1.1,1506696,37.3113
18:39:00,1.1,1506688,37.3111
18:39:02,1.1,1506088,37.2962
18:39:04,1.1,1506212,37.2993
18:39:06,1.1,1506328,37.3022
18:39:08,1.1,1506452,37.3053
18:39:10,1.1,1506248,37.3002
18:39:12,1.1,1507020,37.3193
18:39:14,1.1,1507012,37.3191
18:39:16,1.1,1506584,37.3085
18:39:18,1.1,1506640,37.3099
18:39:20,1.1,1506420,37.3045
18:39:23,1.1,1506368,37.3032
18:39:25,1.1,1506180,37.2985
18:39:27,1.1,1505988,37.2938
18:39:29,1.1,1506280,37.3010
18:39:31,1.1,1506396,37.3039
18:39:33,1.1,1506488,37.3062
18:39:35,1.1,1506592,37.3087
18:39:37,1.1,1506856,37.3153
18:39:39,1.1,1506940,37.3173
18:39:41,1.1,1506676,37.3108
18:39:43,1.1,1506716,37.3118
18:39:45,1.1,1506964,37.3179
18:39:48,1.1,1506700,37.3114
18:39:50,1.1,1506180,37.2985
18:39:52,1.1,1506600,37.3089
18:39:54,1.1,1506940,37.3173
18:39:56,1.1,1506832,37.3147
18:39:58,1.1,1506892,37.3162
18:40:00,1.1,1507520,37.3317
18:40:02,1.1,1507204,37.3239
18:40:05,1.1,1506832,37.3147
18:40:07,1.1,1506832,37.3147
18:40:09,1.1,1506900,37.3164
